care_site_id,Department
1389,YNH DRAW STATION SMILOW NEW HAVEN - A
24497,FAIR HAVEN SBHC DENTAL CLINTON AVE
23183,YM HAVEN FREE CLINIC
42157,NE IM UNH WEST HAVEN
1332,YNH PEDI AERODIGESTIVE
1678,BH SLEEP CENTER
2632,NE BENDHEIM ONCOLOGY
4202,LAB FOR REFERENCIA
492,YNH PATIENT RELATIONS
2585,NE DR THORNTON - FAIRFIELD
38548,LMH COMMUNITY PARTNERS
24775,FAIR HAVEN PODIATRY BELLA VISTA
27140,YNH PEDI ORTHO TRUMBULL
2195,YMG PEDI GUILFORD RESPIRATORY
42851,YM NEUROLOGY NEUROMUSCULAR NOH
3447,"CONTINUUM HOME HEALTH, INC"
749,YNH NORTH HAVEN LABORATORY COST CENTER DEPARTMENT
4248,CHERRY BROOK HEALTH CARE CENTER
39839,WH TENT
4100,YNH TRANSPORT DEPARTMENT
2736,ADVANCED CARDIOVASCULAR SPECIALISTS - BRIDGEPORT
29977,CSHH PEDIATRICS ANSONIA
1464,YNH HVC OP ORANGE
21401,LMH RESPIRATORY SERVICE
21483,LMH OCCUPATIONAL HEALTH CLINIC
29641,YM BREAST MED ONC MDC FAIRFIELD
2642,NE WESTPORT FAMILY MEDICINE
2169,YMG TEMPLE GLAUCOMA
21675,LMH VASCULAR SURGERY SERVICE
43421,YNH BARIATRIC SURGERY WESTBROOK
1137,YNH DR SPINE CENTER XRAY
21494,WH BONE DENSITY
29994,CSHH MEDICAL KING ROBINSON SBHC
30424,MC INTERVENTIONAL RADIOLOGY
38441,YM SURGERY GI 4A DEVINE NORTH HAVEN
1255,YNH CYSTIC FIBROSIS CLINIC
1885,BH OUTPATIENT IMAGING STRATFORD ULTRASOUND
38335,SNF MASS TESTING - WESTFIELD CARE & REHAB
42170,NE ORTHO SURG MILFORD
28844,GH PUTNAM XRAY
1510,SRC VERDI 4 NORTH
3454,YNH PEDIATRIC SEDATION
32048,SRC VERDI 2 SOUTH PRE OP OVERFLOW
3583,NE PM OPHTH 335 NORWALK
29925,YNH NOH ENDOSCOPY POSTOP HOLDING
32078,CSHH BH TOWER LANE GERIATRICS
922,BH CENTRAL SUPPLY AREA
41688,YNH PEDI DENTAL VAN
3577,NE PM INF DIS 201 FAIRFIELD
3920,CT SCAN YNH RADONC
41467,OPTHC FIN WASHINGTON
1619,YNH RADIATION ONCOLOGY HAMDEN
1410,YNHCH BH PED RECOVERY RM
40458,BH PCC MEDICATION ASST TREATMENT
692,YNH BH CHILDREN BH INTERVENTIONAL RADIOLOGY
30470,YM SURGERY COMM DISORDER GREENWICH
42519,FAIR HAVEN SBHC BH BISHOP WOODS
826,SRC PSYCHIATRY SERVICE
1423,YNH PEDI NORWALK DIABETES
2656,NE POD MONROE
2734,NUTMEG PED PULM NL
30074,X YNH CODE D ATRIUM GREEN HOLDING
35026,NE VIDEO CARE ASSESSMENT
45554,YNH SPEECH & SWALLOW OLD SAYBROOK
590,YM IM YIMA
2768,YHC TRAVEL
26620,YNH PEDI ALLERGY IMMUNOLOGY TRUMBULL
38219,SNF MASS TESTING - APPLE REHAB GUILFORD
42163,NE PATIENT RESOURCE
2588,NE INTERNAL MEDICINE - BULLER
4214,FAIR HAVEN SBHC BH FH K-8
40093,YM DIGESTIVE DISEASE TEMPLE NH
21758,NE OBGYN NEW LONDON
3572,NE PM IM TRUMBULL WHITE PLAINS RD
45234,NE BEHAVIORAL MED UNCASVILLE
2410,YMG UROLOGY CTR - WEST HAVEN
3365,YMG NEUROSURGERY - RIVERSIDE
1430,YNH PEDI NORWALK ORTHO
993,YNH YPH LIBERTY VILLAGE 2
41545,YNH DIGESTIVE ORCHARD NH
1413,YNHCH BH 23 HOURS
2042,GH HOLLY HILL US
32028,THE VASCULAR EXPERTS
43468,YNH PEDI GENDER NORWALK
2510,NE CARDIOLOGY WEST HAVEN
19123,YM NEURO MOVEMENT STAMFORD
517,YNH SPECIMEN PROCESS COST CENTER DEPARTMENT
910,YNHCH BH NEONATOLOGY SERVICE
39866,YNH COVID VACCINE FAIR WEST CAMPUS
1435,YNH NORWALK NEUROSURGERY SPINE
2090,YMG PEDI LW UROLOGY
3360,ADVANCED RADIOLOGY
22329,SLEEP AND NEUROSCIENCE ASSOCIATES
24468,NE ENT - POST RD SOUTHPORT
39629,WH ANTIBODY INFUSION WESTERLY
3434,YNH PEDI ENDOCRINOLOGY TRUMBULL
44159,GH PEDI GENETICS 500 W PUTNAM
2045,GH SURGICAL CTR XRAY
1251,YNH PCC ADULT MED FACULTY
27785,FAIR HAVEN ADDICTION MED 50 GRAND AVE
21594,YM PEDI RHEUMATOLOGY GREENWICH
1734,BH HEALTH INFO MGMT
3369,BH NUTRITION SERVICES - BRICK WALK
44573,YNHCH BH PEDI NEUROLOGY
45411,CENTRAL SCHEDULING - BARIATRICS
1058,YNH EP PACU
42516,NE ALLERGY GUILFORD 385 CHURCH
783,"LEEWAY, INC"
24498,FAIR HAVEN SBHC DENTAL J MARTINEZ
30573,MC MEDITECH MED/SURG - E3COST CENTER DEPARTMENT
3556,NE FM SHELTON CORPORATE DR
45151,YNH PREADMISSION TESTING MILFORD
673,THE HIGHLANDS HEALTH CARE CENTER
2163,YM NEPHROLOGY TEMPLE
2559,NE SR INFECTIOUS DISEASE ORCHARD
2676,NE DR PAMELA JACKSON
582,YM IM DIGESTIVE DISEASE
24725,YNH WP 10 NEONATAL ICU
24360,YM CARDIOLOGY ASSOCIATES - LATHROP PLAINFIELD
24849,YM CARDIOLOGY GROUP SHELTON
29999,CSHH DENTAL DIXWELL
659,OPTION CARE ENTERPRISES
1216,YNH TSC PREOP
42511,ZZYNH PEDI ENDOCRINE OBESITY GREENWICH
1398,YNH SML SURVIVORSHIP-ORANGE
2003,GH 148 EAST AVE NORWALK LAB DRAW
2389,YMG CSC ACADEMIC SKILLS FRONTAGE
1068,YNH DR MRI
2271,YMG HOWARD SLEEP DISORDER
21621,WH EKG
2440,YM SURGERY ONCOLOGY STRATFORD
581,YM IM NEPHROLOGY
43559,CSHH MEDICAL HELEN ST HAMDEN SBHC
40295,YM THORACIC MED ONC MDC TRUMBULL
2072,YMG PEDI LW GENETICS CLINIC
3537,OBGYN PHYSICIANS PC
1193,YNH HAMDEN MAMMO
2135,YMG PHASE 1 CLINIC
2679,YALE DERMATOLOGY ASSOCIATES
18058,SRC PEDIATRIC PRIMARY CARE FOSTER CARE CLINIC
639,YNH SCHCC WOODBRIDGE
1703,BH WOUND HEALING CENTER
24900,NE MILL HILL SURGICAL ASSOCIATES PARK AVE
30387,CSHH BH LINCOLN BASSETT SBHC
39878,YNH COVID VACCINE FAIR MITCHELL COLLEGE
40894,YM OBGYN GENERAL 789 HOWARD AVE
1655,SRC MINOR OPS
1818,BH PRIMARY CARE GI
21757,NE DERM WESTERLY EAST AVE
30174,CSHH BH COLUMBUS - ADULT
44967,CSHH MEDICAL HILL REGIONAL CAREER HIGH SBHC
1754,BH US ED PHYS
42624,YM SURGERY GENERAL TRAUMA BRIDGEPORT
21346,YNH CARDIOLOGY GENETICS CLINIC
44375,YM PEDI SHAWS COVE RHEUMATOLOGY
557,TOTALCARE HOMECARE & NURSING SERVICES
1579,SRC ECHOCARDIOGRAPHY
2102,YM TRANSPLANT DANBURY
24067,NE CARDIO STONINGTON
4089,YM PEDI ADULT INTEGR MED NH LW
493,GH CENTRAL SCHEDULING
505,YNH NEWBORN SC
1500,SRC PEDIATRICS
2372,YMG PEDI NORWALK UROLOGY
29981,CSHH INFECTIOUS DISEASE ANSONIA
38497,NEW HAVEN CORRECTIONS AND PAROLE
29617,NE GREENWICH PULMONARY 500 W PUTNAM
1917,GH OUTPATIENT CTR - OB
24703,YM CARDIOLOGY L&M WATERFORD
436,BH INFECTIOUS DISEASE SERVICE
1333,YNH GAMMA KNIFE CLINIC
39983,FAIR HAVEN COVID VACCINE FAIR WILBUR CROSS
3379,GH DRAW STATION 55 HOLLY HILL
18003,LMMG JOSLIN NEW LONDON
18991,NE CHAPEL MEDICAL GROUP XRAY
29322,YNH RHEUMATOLOGY LONG WHARF
39993,NE HOME COVID VACCINE-VNA NEW LONDON
3957,YNH VIRACOR IBT
1187,YNH EAST HAVEN BONE DENS
3908,MIDDLESEX HOSPITAL
28881,YNH REHAB MCGIVNEY
21514,WH ULTRASOUND
38064,GH MASS TESTING
44015,GH ADOLESCENT PSYCH
1803,BH CARDIAC REHAB
44334,YNH PEDI GI 6 DEVINE
43706,YNHHS CARDIAC REHAB
18753,LMMG ENDOCRINE WESTERLY
441,BH NEUROLOGY SERVICE
2306,YMG PEDI UROLOGY PSC
2392,YM CSC ANXIETY NH FRONTAGE RD
41457,YM OBGYN GENERAL NEW LONDON
19562,LMMG GASTRO WESTERLY WELLS
1044,YNH OPHTHALMIC ONCOLOGY
26378,YNH CELL THERAPY PROCESSING LAB
2103,YM OCC AND ENVIRONMENTAL MEDICINE
21718,LMH PEQUOT BREAST IMAGING
40108,YNH DRAW STATION CHESHIRE
2461,NE IM NEW HAVEN CHAPEL ST
21632,NE WOUND HEALING PARK AVE
43265,YM PEDI GI SHAWS COVE
31489,WH IP GERIATRIC PSYCH
40312,YNH PEDI ORTHO SMILOW
3956,BH BLOOD BANK SERVICES
21465,LMH L&D SCHEDULING DEPT
30448,MC MAMMOGRAPHY
19701,YNH SMILOW PAIN MANAGEMENT
804,"NEUROCARE HEALTH, PC"
1013,YNH PULMONARY FUNCTION TESTING
4093,YM OB GEN HAMDEN 2446 WHITNEY
42308,YNH HVC PREVENTATIVE CARDIOLOGY HEALTH
2730,"VISWA NATHAN, M.D, LLC"
3875,SEASONS HOSPICE AND PALLIATIVE CARE
21471,LMH CROSSROADS ULTRASOUND
2674,NE ENDO STAMFORD
41095,YM ORTHO DME MILFORD
372,GH RESPIRATORY THERAPY
1852,BH CT PARK AVE RAD THERAPY
4078,YM OBGYN GENERAL WESTPORT
21655,ANESTHESIA ASSOCIATES OF NEW LONDON
21694,WH FOOD AND NUTRITION SERVICE
351,GH FOOD AND NUTRITION SERVICES
41910,OPTHC CALL CENTER
1643,SRC PLASTIC SURGERY
1663,SRC PULMONARY REHAB - BRANFORD
24852,NE WALK IN RYE BROOK
29293,YNH SMILOW PALLIATIVE DERBY
1029,YNH PHOTOTHERAPY
21711,LMH CROSSROADS BREAST IMAGING
28856,ORTHOPEDIC PARTNERS NIANTIC
668,CAROLTON HOSPITAL
1633,SRC FOOT AND ANKLE
2131,YM PATHOLOGY SURG PATH LAB
393,YNH CLINICIANS - BEHAVIORAL HEALTH
2073,YMG ORTH LW PEDI SPECIALTY
2292,YMG PEDI CARDIOLOGY
2411,YM PEDI MILL HILL CARDIOLOGY
42866,NE PULM TRUMBULL PARK AVE
4071,YNH UROLOGY CENTER
44596,YALE NEW HAVEN URGENT CARE BILLING
21481,LMH WOUND CARE CENTER
1104,YNH PEDI LW DEVELOPMENTAL BEHAVIORAL
1502,SRC SR LOUISE ANTHONY 2
3490,HARTFORD HEALTHCARE HEM/ONC
2120,YM PEDI ENDO/DIABETES
4048,GESHER ALLERGY & IMMUNO NEW HAVEN
38594,NE OBGYN STAMFORD LONG RIDGE
3994,GH YM SLEEP STUDY
23353,NE PA SURGERY MONTAUK AVE
24666,YNH COUNSYL
609,YM PEDI RHEUMATOLOGY
1028,YNH REHAB SMILOW
41319,OPTHC FIN ATLANTIC
1102,YNH ORTH LW PEDI SPECIALTY
2578,NE BH BREAST FAIRFIELD
2443,YM CARDIOLOGY NH SHERMAN
26677,YNH EMG NORTH HAVEN
709,YNH BH CHILDREN BH KIDEASE / AMB PEDIATRICS
3477,YM PEDI CARDIOLOGY FETAL CONSULT
19129,NE BARIATRIC REHAB SOUTHPORT
1903,GH ADMITTING
3441,WOMENS HEALTH CARE
41655,SRC CLOSER TO HOME LOUNGE
45221,YM ORTHO FAIRFIELD XRAY
23178,YNH SOCIAL WORK PRIMARY CARE ADULT
23246,NE CARDIAC SPECIALISTS BH TAVR
26308,YNH TRANSPLANT SURGERY SERVICE
44011,FAIR HAVEN DENTAL 150 SARGENT DRIVE
44587,YALE NEW HAVEN URGENT CARE WEST HARTFORD
3946,LAWRENCE AND MEMORIAL HOSPITAL
1080,YNH DR XRAY OR
481,GH RISK MANAGEMENT
2426,YMG YALE OCCULOPLASTIC SURGEONS
44905,YNH DRAW STATION 4A DEVINE
1868,NE RIDGEFIELD CARDIAC  SPECIALISTS
2690,ENDOCRINE ASSOC OF CT - NEW HAVEN
21638,"GYNECOLOGIC CANCER CARE, LLC"
43568,YNH PETCT CARDIOLOGY EP
620,YM SURGERY PEDI
29234,ZZYNH PEDI SURGERY 500 W PUTNAM
1982,GH NUCLEAR MEDICINE/PET
18888,GH LRR INFUSION STAMFORD
38240,SNF MASS TESTING - WAVENY
41548,CSHH DENTAL REGGIE MAYO SBHC
2751,YHC ENDOCRINOLOGY
25057,CT PULMONARY SPECIALISTS-BRANFORD
30631,LMH GI SURGERY MONTAUK NEW LONDON
390,YNH CARDIOTHORACIC SERVICE
2304,YMG PED COMMUNICATIONS DISORDER
43617,FAIR HAVEN ADULT LEEWAY
28842,SRC LABOR & DELIVERY US
2132,YM LAB MEDICINE
39432,YNH PEDI SOCIAL WORK LONG WHARF
36775,BH FOUNTAIN TENT
21649,WH ANTICOAGULATION CLINIC
38269,COMMUNITY MASS TESTING - NEW LONDON REGION
1382,YNH DR SPORTS MEDICINE GUILFORD XRAY
2167,YMG TEMPLE COMPREHENSIVE
43618,NE UROGYN FAIRFIELD
43983,GH PEDI SURGERY 500 W PUTNAM
2082,YMG PEDI LW MDA CLINIC
22366,WH SBO
24205,NE HEMATOLOGY ONCOLOGY
32052,BH MEDEASE GYN
41276,OPTHC PODIATRY BARNUM
43691,YNH LACTATION PROGRAM 789 HOWARD
44507,YM YNH CYTOLOGY LABORATORY
627,YM SURGERY GENERAL TRAUMA
1396,YNH SMILOW PHARMACY ORANGE
1922,GH OUTPATIENT CTR - SPECIALTY
2307,YMG PEDI ENDO
4180,SHAMROCK HOME CARE
39195,YM SURGERY PLASTICS SOUTHPORT
2624,NE DR NIRMALA MONTIERO - FAIRFIELD
21968,ROMANIA EYE CENTER LLC
1062,YNH WP PACU
683,YM YALE CANCER CENTER
1998,GH CARDIAC SERVICES
3889,THE ORTHOPAEDIC AND SPORTS MEDICINE CTR
1177,YNH PERINATOLOGY LW MFM US
19137,THE MILFORD PEDIATRIC GROUP
1981,GH ANGIO/INTERVENTIONAL RAD
4246,BAYVIEW HEALTH CARE
4061,NON INTERFACED REFERENCE LAB
18576,VITAS HEALTHCARE - STRATFORD
24726,YNH WP 10 WELL NURSERY
824,SRC OCCUPATIONAL THERAPY
21413,LMH OMNICELL EMERGENCY DEPT
27782,FAIR HAVEN ADDICTION MED 374 GRAND AVE
35757,BH UROLOGY IP OVERFLOW
45154,YNHHS FC ONCOLOGY RETAIL MED AUTH
1491,SRC CARDIAC INTENSIVE - SUB
21681,LMH RHEUMATOLOGY SERVICE
21969,SHRI KRIS VERMA MD
1555,SRC OR
4259,YNH SCCC TORRINGTON LAB
41384,OPTHC DENTAL MOBILE EAST MAIN
41348,OPTHC BH BULLARD-HAVEN SBHC
1186,YNH EAST HAVEN MAMMO
2788,BH WOUND CONSULT
1558,SRC MAIN RECOVERY
21672,LMH OTOLARYNGOLOGY SERVICE
31342,YM NEUROLOGY MEMORY TEMPLE
38381,SNF MASS TESTING - CAROLTON HOSPITAL
472,NATHANIEL WITHERELL
30082,X YNH CODE D NP 8 INFUSION CENTER
42533,YNH CHILDRENS DAY HOSPITAL IOP
491,YNH FOOD AND NUTRITION SERVICES
3483,SRC YSN MIDWIVES
4881,ZZZWH EMERGENCY DEPARTMENT
4271,GH VALLEY DRIVE LAB
26338,YM PMR CMC OLD SAYBROOK
41263,OPTHC DENTAL COLUMBUS SBHC
44972,OPTHC CHIRO ATLANTIC
1466,YNH HVC OP GUILFORD
18656,CONNECTICUT HAND CENTER - MADISON
44592,YALE NEW HAVEN URGENT CARE DERBY
4867,ZZZLMH 4.1 NEURO
2421,YM CSC OUTPATIENT HAMDEN CHURCH ST
27776,YNH SMILOW HEAD & NECK MDC TRUMBULL
29633,YM OBGYN NEW LONDON
44444,NE ENDO STAMFORD EAST MAIN STREET
43958,FCHC BH STILLMEADOW ELEM SBHC
438,BH MEDICINE SERVICE
2614,NE DIABETES EDUC PROGRAM
30176,CSHH BH STATE ST - ADULT
44156,NE CARDIOLOGY PALLIATIVE CARE SHERMAN
1397,YNH DRAW STATION SMILOW ORANGE
44235,CSHH MEDICAL WEST HAVEN HIGH SCHOOL
44988,YALE NEW HAVEN URGENT CARE FAIRFIELD
30027,CSHH MEDICAL STATE ST
40349,NE POD GUILFORD CHURCH ST
2547,NE SR GASTRO ORCHARD CENTER
24093,LMH OCCUPATIONAL THERAPY HOSPICE
41797,GH PALLIATIVE CARE LAFAYETTE
2251,YMG CARDIOLOGY VALVE
2515,NE FM CENTERBROOK
30441,MC PHYSICAL THERAPY
39208,SRC DR VASCULAR ULTRASOUND
44583,YALE NEW HAVEN URGENT CARE HAMDEN
