medication_id,Pharma_Class,Generic_name,Drug_Name_Dose,drug_concept_id,frequency,percentage
3291696,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION,40221382,2542929,60.69%
3812160,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % IV BOLUS NEW BAG (DROPS CHARGE),19079524,1720996,41.08%
9679676,Diluents - Sodium Chloride,0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % INJECTION SOLUTION,40221382,535807,96.8%
3742473,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % IV BOLUS FROM BAG (ZERO CHARGE),19079524,505370,12.06%
4218167,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % INTRAVENOUS PIGGYBACK,40221382,407772,9.73%
4491671,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % LARGE VOLUME SYRINGE FOR AUTOINJECTOR,19079524,230882,5.51%
7283543,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % IV (DEHP-FREE),40221382,107146,2.56%
5390452,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % IV BOLUS FOR ADULT SEPSIS (30 ML KG),19079524,25140,0.6%
4491846,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % INFUSION - NOT FOR PUMP INTEGRATION,19079524,16198,0.39%
7744911,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % IV BOLUS (250 ML FLAT DOSE) DURING MEDICATION ADMINISTRATION ONLY,40221382,4696,0.11%
9606594,"Sodium Chloride, Parenteral",0.9 % sodium chloride,VITAMIN BAG  ED IN D5W 0.45% NACL 500 ML (PYXIS),"",2432,0.06%
6738758,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9% IV POST-HYDRATION (USING ABW) - FOR CONTRAST INDUCED NEPHROPATHY,19079524,1142,0.03%
2188724,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9% IV PREHYDRATION (USING ABW) - FOR CONTRAST INDUCED NEPHROPATHY,19079524,1103,0.03%
7055619,Wound Care - Cleansers,0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % SOLUTION,19136048,655,71.82%
1044170,"Sodium Chloride, Parenteral",0.9 % sodium chloride,VITAMIN BAG  STANDARD (0.9% NACL) 500 ML (PYXIS),"",447,0.01%
6276754,"Sodium Chloride, Parenteral",0.9 % sodium chloride,SODIUM CHLORIDE 0.9% IV PRE-HYDRATION (USING IBW) - FOR CONTRAST INDUCED NEPHROPATHY,19079524,287,0.01%
6192705,"Sodium Chloride, Parenteral",0.9 % sodium chloride,CHILLED SODIUM CHLORIDE 0.9% IV BOLUS,19079524,215,0.01%
4841307,"Sodium Chloride, Parenteral",0.9 % sodium chloride,THIAMINE 100 MG INJ IN 0.9% NACL 50 ML (BATCH),"",208,0.0%
8062152,Nasal Moisturizers,0.9 % sodium chloride,SODIUM CHLORIDE 0.9 % NASAL SPRAY AEROSOL,967981,112,0.1%
3126487,"Sodium Chloride, Parenteral",0.9 % sodium chloride,CVVH PRIMING SOLN - SODIUM CHLORIDE 0.9 % SOLUTION,"",79,0.0%
2725170,Nasal Moisturizers,0.9 % sodium chloride,SIMPLY SALINE NASL,"",69,0.06%
5328220,Alternative Therapy - Unclassified,5-hydroxytryptophan (5-HTP),5-HTP ORAL,"",301,0.17%
8382142,Alternative Therapy - Unclassified,5-hydroxytryptophan (5-HTP),5-HYDROXYTRYPTOPHAN (5-HTP) 100 MG CAPSULE,19103431,235,0.13%
2874029,Alternative Therapy - Unclassified,5-hydroxytryptophan (5-HTP),5-HYDROXYTRYPTOPHAN (5-HTP) 50 MG CAPSULE,1363520,60,0.03%
6122517,"Parenteral Nutrition-Amino Acid, Dextrose and Electrolytes Combination",AA 2 % no1 ped D10 calcium hep,TPN NEONATAL STARTER BAG INFUSION PREMIX (GH-NEW),19018255,158,40.83%
9961608,"Parenteral Nutrition-Amino Acid, Dextrose and Electrolytes Combination",AA 4% no2 ped D10W calcium hep,AMINO ACID 4 % PEDI-D10W-CALC 3.75 MEQ-HEPARIN 125 UNIT 250 ML IV SOLN,43012244,127,32.82%
5707032,"Parenteral Nutrition-Amino Acid, Dextrose and Electrolytes Combination",AA 4.25 % calcium lytes D25W,AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D25W INTRAVENOUS SOLUTION,19131079,91,23.51%
6717741,Otic (Ear) - Local Anesthetic-Analgesic Combinations,AA antpy bcaine polico Al Acet,ACETIC ACID-ANTIPYRENE-BENZOCAINE-POLICOS-ALUMAC 5.4 %-1.4 % EAR DROPS,40229080,72,1.23%
5153389,Nutritional Product - Protein Replacements,AA hydrolyzed collagen  whey,LPS 15-30  15 GRAM-100 KCAL 30 ML ORAL LIQUID,"",58,0.47%
4628161,Alternative Therapy - Unclassified,Arnica,ARNICA TOP,"",202,0.12%
5966571,Alternative Therapy - Unclassified,Arnica,ARNICA 20 % TOPICAL TINCTURE,19071094,153,0.09%
6254178,B-Complex Vitamin Combinations,B C folic zinc selenometh D3 E,RENAPLEX-D 800 MCG-12.5 MG-2 000 UNIT TABLET,19014164,90,0.33%
2874959,Vitamins - D Derivatives,B cmplx 4 vit D3 C folic zinc,VITAL-D RX 1 750 UNIT-60 MG-1 MG-12.5 MG TABLET,901318,207,0.02%
4361457,Vitamins - D Derivatives,B cmplx 4 vit D3 C folic zinc,VITAL-D RX ORAL,"",193,0.02%
1059953,Vitamins - D Derivatives,B cmplx 4 vit D3 C folic zinc,B CPLX 4-VIT D3 1 750 UNIT-C 60 MG-FOLIC ACID 1 MG-ZINC 12.5 MG TABLET,40241654,99,0.01%
9528127,B-Complex Vitamins and Combinations,B complex 11 folic C biot zinc,B COMPLEX 11-FOLIC ACID 1 MG-C 100 MG-BIOTIN 300 MCG-ZINC 50 MG TABLET,42899412,54,0.37%
9959722,B-Complex Vitamin Combinations,B complex C no.10 folic acid,VITAMIN B COMPLEX WITH C NO.10-FOLIC ACID 900 MCG 5 ML ORAL LIQUID,19111620,50,0.18%
3965660,B-Complex Vitamin Combinations,B complex w-C no.20 folic acid,VITAMIN B COMPLEX AND VITAMIN C NO.20-FOLIC ACID 1 MG CAPSULE,19111620,8686,31.58%
