procedure_id,concept_name,concept_id,code,procedure_code,procedure_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
9628671,Periodic oral examination,4198990,ADA,D0120,PR  PERIODIC ORAL EVALUATION EST PT,93511,0.12%,Procedure,SNOMED,51733004,Procedure
5929741,No matching concept,0,ADA,D1120,PR  PROPHYLAXIS - CHILD,88552,0.11%,Metadata,None,No matching concept,Undefined
3634841,Application of dental fluoride varnish,4197303,ADA,D1206,PR TOPICAL APPLICATN FLUORIDE VARNISH,80746,0.1%,Procedure,SNOMED,313042009,Procedure
5621045,Dental X-ray periapical,4346193,ADA,D0220,PR  IO-PERIAPICAL 1ST RADIOGRAPHC IMAGE,69471,0.09%,Procedure,SNOMED,241047004,Procedure
8110101,LIMITED ORAL EVALUATION - PROBLEM FOCUSED,40659022,ADA,D0140,PR  LTD ORAL EVALUATION - PROBLEM FOCUS,55820,0.07%,Procedure,HCPCS,D0140,HCPCS
9897659,"Tooth extraction, root removal of exposed roots",4189190,ADA,D7140,EXTRAC ERUPTED TOOTH/EXPOSED ROOT,52030,0.07%,Procedure,SNOMED,60562006,Procedure
2220420,No matching concept,0,ADA,D2391,RESIN COMPOS - 1 SURFACE POSTERIOR,47180,0.06%,Metadata,None,No matching concept,Undefined
6299464,Dental X-ray periapical,4346193,ADA,D0230,PR  IO-PERIAPICAL EA ADD RADIOGRPH IMAG,42332,0.05%,Procedure,SNOMED,241047004,Procedure
3446028,No matching concept,0,ADA,D1110,PR  PROPHYLAXIS - ADULT,41788,0.05%,Metadata,None,No matching concept,Undefined
4313131,Dental X-ray bitewing,4081551,ADA,D0274,PR  BITEWINGS - FOUR RADIOGRAPHC IMAGES,40918,0.05%,Procedure,SNOMED,241046008,Procedure
2666233,No matching concept,0,ADA,D2392,RESIN COMPOS - 2 SURFACES POSTERIOR,39318,0.05%,Metadata,None,No matching concept,Undefined
1268357,No matching concept,0,ADA,D0330,PR  PANORAMIC RADIOGRAPHIC IMAGE,29816,0.04%,Metadata,None,No matching concept,Undefined
7845972,No matching concept,0,ADA,D1351,PR  SEALANT - PER TOOTH,28547,0.04%,Metadata,None,No matching concept,Undefined
6618060,Oral examination,4045893,ADA,D0150,PR  COMP ORAL EVALUATION - NEW/EST PT,26852,0.03%,Procedure,SNOMED,122856003,Procedure
6868944,Dental X-ray bitewing,4081551,ADA,D0272,PR  BITEWINGS - TWO RADIOGRAPHIC IMAGES,22181,0.03%,Procedure,SNOMED,241046008,Procedure
2561369,CONSULTATION - DIAGNOSTIC SERVICE PROVIDED BY DENTIST OR PHYSICIAN OTHER THAN REQUESTING DENTIST OR PHYSICIAN,40658263,ADA,D9310,PR  CNSLT DX  DENT/PHY NOT REQ DENT/PHY,18076,0.02%,Procedure,HCPCS,D9310,HCPCS
