measurement_id,concept_name,concept_id,frequency,percentage,unit_source_value,domain_id,vocabulary_id,concept_code,concept_class_id
2107712,Systolic blood pressure,4152194,32539573,41.13%,"",Measurement,SNOMED,271649006,Observable Entity
6956861,Diastolic blood pressure,4154790,32406707,40.96%,"",Measurement,SNOMED,271650006,Observable Entity
3474859,Non-invasive mean arterial pressure,4108289,32403657,40.96%,"",Measurement,SNOMED,251074006,Observable Entity
2809009,Percentage change in weight,4093980,31557047,39.89%,%,Measurement,SNOMED,248347000,Observable Entity
8649088,Body weight,4099154,31517142,39.84%,POUNDS,Measurement,SNOMED,27113001,Observable Entity
3267741,Weight change,4086522,31449509,39.75%,"",Measurement,SNOMED,248346009,Observable Entity
6565559,Body weight,4099154,27471795,34.73%,"",Measurement,SNOMED,27113001,Observable Entity
1102029,Body weight,4099154,26889315,33.99%,"",Measurement,SNOMED,27113001,Observable Entity
7944323,Peripheral oxygen saturation,4196147,23110338,29.21%,%,Measurement,SNOMED,431314004,Observable Entity
8205308,Ideal body weight,3032445,22807107,28.83%,kg,Measurement,LOINC,50064-5,Clinical Observation
3831815,Ideal body weight,3032445,22807107,28.83%,kg,Measurement,LOINC,50064-5,Clinical Observation
5251633,Body height measure,4177340,22769167,28.78%,"",Measurement,SNOMED,50373000,Observable Entity
3852262,Weight gain,37311268,22769166,28.78%,inches,Measurement,SNOMED,816159004,Observable Entity
8104946,Body mass index,4245997,22204782,28.07%,"",Measurement,SNOMED,60621009,Observable Entity
4354555,Body temperature,4302666,22144279,27.99%,"",Measurement,SNOMED,386725007,Observable Entity
5828472,Body mass index,4245997,22137937,27.98%,"",Measurement,SNOMED,60621009,Observable Entity
7900801,Body mass index,4245997,21949826,27.75%,"",Measurement,SNOMED,60621009,Observable Entity
5701719,Body mass index,4245997,21948621,27.74%,"",Measurement,SNOMED,60621009,Observable Entity
6565540,Body mass index,4245997,20462013,25.87%,"",Measurement,SNOMED,60621009,Observable Entity
2843649,Respiratory rate,4313591,16788269,21.22%,"",Measurement,SNOMED,86290005,Observable Entity
7014050,Body mass index,4245997,15383684,19.45%,"",Measurement,SNOMED,60621009,Observable Entity
9715124,Body surface area,4201235,15383683,19.45%,"",Measurement,SNOMED,301898006,Observable Entity
4937287,Umbilical artery Mean blood pressure,3004366,15217003,19.24%,"",Measurement,LOINC,8507-6,Clinical Observation
2938149,Weight change,4086522,14991646,18.95%,"",Measurement,SNOMED,248346009,Observable Entity
8487431,Ideal body weight,3032445,11940717,15.09%,"",Measurement,LOINC,50064-5,Clinical Observation
8609150,Pain severity [Score] [PhenX],40766725,10077072,12.74%,"",Measurement,LOINC,64008-6,Clinical Observation
7939251,Body surface area Measured,3000351,9220910,11.66%,"",Measurement,LOINC,3139-3,Clinical Observation
1622298,Body height --standing,3015514,8985859,11.36%,"",Measurement,LOINC,8308-9,Clinical Observation
2980627,Metabolic rate --resting,40771936,8380161,10.59%,"",Measurement,LOINC,69429-9,Lab Test
7041370,Arterial oxygen saturation,40483579,8267321,10.45%,%,Measurement,SNOMED,442476006,Observable Entity
8679539,Heart rate,4239408,8257582,10.44%,"",Measurement,SNOMED,364075005,Observable Entity
1456885,Respiratory rate,4313591,7049773,8.91%,"",Measurement,SNOMED,86290005,Observable Entity
2707901,Creatinine [Mass/volume] in Serum or Plasma,3016723,6919779,8.75%,mg dL,Measurement,LOINC,2160-0,Lab Test
1032991,Urea nitrogen [Mass/volume] in Serum or Plasma,3013682,6881266,8.7%,mg dL,Measurement,LOINC,3094-0,Lab Test
8211496,Calcium [Mass/volume] in Serum or Plasma,3006906,6849788,8.66%,mg dL,Measurement,LOINC,17861-6,Lab Test
8704479,Chloride [Moles/volume] in Serum or Plasma,3014576,6830875,8.63%,mmol L,Measurement,LOINC,2075-0,Lab Test
7454960,Glucose [Mass/volume] in Serum or Plasma,3004501,6793459,8.59%,mg dL,Measurement,LOINC,2345-7,Lab Test
6708027,Hemoglobin [Mass/volume] in Blood,3000963,6638707,8.39%,g dL,Measurement,LOINC,718-7,Lab Test
5692306,Platelets [#/volume] in Blood by Automated count,3024929,6611922,8.36%,10*3 uL,Measurement,LOINC,777-3,Lab Test
7171602,MCV [Entitic volume] by Automated count,3023599,6608895,8.35%,fL,Measurement,LOINC,787-2,Lab Test
6737442,Platelet mean volume [Entitic volume] in Blood by Automated count,3043111,6606069,8.35%,fL,Measurement,LOINC,32623-1,Lab Test
1404065,MCHC [Mass/volume] by Automated count,3009744,6605811,8.35%,g dL,Measurement,LOINC,786-4,Lab Test
4524271,Erythrocyte distribution width [Ratio] by Automated count,3019897,6605802,8.35%,%,Measurement,LOINC,788-0,Lab Test
7231610,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,40761514,6379764,8.06%,%,Measurement,LOINC,58413-6,Lab Test
2135300,Neutrophils/100 leukocytes in Blood by Automated count,3008342,6112059,7.73%,%,Measurement,LOINC,770-8,Lab Test
2153382,Monocytes/100 leukocytes in Blood by Automated count,3011948,6110542,7.72%,%,Measurement,LOINC,5905-5,Lab Test
3886792,Lymphocytes/100 leukocytes in Blood by Automated count,3037511,6110540,7.72%,%,Measurement,LOINC,736-9,Lab Test
8544899,Eosinophils/100 leukocytes in Blood by Automated count,3010457,6110450,7.72%,%,Measurement,LOINC,713-8,Lab Test
5164202,Basophils/100 leukocytes in Blood by Automated count,3013869,6110419,7.72%,%,Measurement,LOINC,706-2,Lab Test
3203879,Immature granulocytes/100 leukocytes in Blood by Automated count,42869452,6109383,7.72%,%,Measurement,LOINC,71695-1,Lab Test
1493017,Leukocytes [#/volume] in Blood by Automated count,3000905,6060438,7.66%,10*3 uL,Measurement,LOINC,6690-2,Lab Test
8647695,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,3018311,5612028,7.09%,"",Measurement,LOINC,3097-3,Lab Test
7281032,Anion gap 3 in Serum or Plasma,3021391,5607999,7.09%,"",Measurement,LOINC,10466-1,Lab Test
7660821,MCH [Entitic mass] by Automated count,3012030,5555023,7.02%,pg,Measurement,LOINC,785-6,Lab Test
3667878,Emergency Severity Index,37019008,5508007,6.96%,"",Measurement,SNOMED,713010006,Staging / Scales
3938818,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,3037081,5502725,6.96%,[U] L,Measurement,LOINC,30239-8,Lab Test
8957810,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,3027388,5501551,6.95%,[U] L,Measurement,LOINC,1744-2,Lab Test
7181608,Bilirubin.total [Mass/volume] in Serum or Plasma,3024128,5424494,6.86%,mg dL,Measurement,LOINC,1975-2,Lab Test
7010431,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,3035995,5412509,6.84%,[U] L,Measurement,LOINC,6768-6,Lab Test
3047145,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,40763912,5411558,6.84%,g dL,Measurement,LOINC,61151-7,Lab Test
8366766,Protein [Mass/volume] in Serum or Plasma,3020630,5324763,6.73%,g dL,Measurement,LOINC,2885-2,Lab Test
8598978,Globulin [Mass/volume] in Plasma,3010568,5319949,6.72%,g dL,Measurement,LOINC,13536-8,Lab Test
6549676,Albumin/Globulin [Mass Ratio] in Serum or Plasma,3020509,4469075,5.65%,"",Measurement,LOINC,1759-0,Lab Test
4231210,Creatinine [Mass/volume] in Serum or Plasma,3016723,4450905,5.63%,mg dL,Measurement,LOINC,2160-0,Lab Test
8890685,Pain severity [Score] [PhenX],40766725,4428540,5.6%,"",Measurement,LOINC,64008-6,Clinical Observation
4200902,Urea nitrogen [Mass/volume] in Serum or Plasma,3013682,4417172,5.58%,mg dL,Measurement,LOINC,3094-0,Lab Test
7918655,Potassium [Moles/volume] in Serum or Plasma,3023103,4378606,5.53%,mmol L,Measurement,LOINC,2823-3,Lab Test
1273680,Sodium [Moles/volume] in Serum or Plasma,3019550,4371095,5.53%,mmol L,Measurement,LOINC,2951-2,Lab Test
7000999,Chloride [Moles/volume] in Serum or Plasma,3014576,4365196,5.52%,mmol L,Measurement,LOINC,2075-0,Lab Test
2002319,Deprecated Bicarbonate [Moles/volume] in Plasma,3015473,4355866,5.51%,mmol L,Measurement,LOINC,1962-0,Lab Test
2481734,Calcium [Mass/volume] in Blood,3032503,4332642,5.48%,mg dL,Measurement,LOINC,49765-1,Lab Test
1867997,Glucose [Mass/volume] in Serum or Plasma,3004501,4281702,5.41%,mg dL,Measurement,LOINC,2345-7,Lab Test
1451316,Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma,3022893,4272809,5.4%,"",Measurement,LOINC,1916-6,Lab Test
7835793,Platelets [#/volume] in Blood by Automated count,3024929,4257686,5.38%,10*3 uL,Measurement,LOINC,777-3,Lab Test
2012822,Leukocytes [#/volume] in Blood by Automated count,3000905,4256738,5.38%,10,Measurement,LOINC,6690-2,Lab Test
4050439,Erythrocytes [#/volume] in Blood by Automated count,3020416,4245585,5.37%,10*6 mm3,Measurement,LOINC,789-8,Lab Test
6336442,MCV [Entitic volume] by Automated count,3023599,4237818,5.36%,fL,Measurement,LOINC,787-2,Lab Test
3988283,MCH [Entitic mass] by Automated count,3012030,4235754,5.35%,pg,Measurement,LOINC,785-6,Lab Test
1546495,Platelet mean volume [Entitic volume] in Blood,3001123,4196155,5.3%,fL,Measurement,LOINC,28542-9,Lab Test
6281694,Erythrocyte distribution width [Ratio] by Automated count,3019897,4117422,5.2%,%,Measurement,LOINC,788-0,Lab Test
8497325,Standing height,4093975,3754080,4.75%,"",Measurement,SNOMED,248333004,Observable Entity
7230059,HC gene rearrangements in Blood or Tissue by Molecular genetics method Narrative,3029298,3689384,4.66%,{calc},Measurement,LOINC,50627-9,Lab Test
9160126,Erythrocytes [#/volume] in Blood by Automated count,3020416,3684871,4.66%,10*6 uL,Measurement,LOINC,789-8,Lab Test
6919721,Hematocrit [Volume Fraction] of Blood by Automated count,3023314,3536088,4.47%,%,Measurement,LOINC,4544-3,Lab Test
