procedure_id,concept_name,concept_id,order_code,order_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
6103571,"Electrocardiogram, routine ECG with at least 12 leads; with interpretation and report",2313814,EKG1,EKG,4848842,8.72%,Procedure,CPT4,93000,CPT4
9823552,No matching concept,0,ADT8,DISCHARGE PATIENT,3255470,5.86%,Metadata,None,No matching concept,Undefined
3332695,No matching concept,0,NUR185,NURSING COMMUNICATION,2625018,4.72%,Metadata,None,No matching concept,Undefined
6244066,"Radiologic examination, chest; 2 views",725069,IMG36,XR CHEST PA AND LATERAL,2367764,4.26%,Procedure,CPT4,71046,CPT4
9817355,No matching concept,0,LAB239,URINE CULTURE,2342505,4.21%,Metadata,None,No matching concept,Undefined
3173834,Conversion of intravenous infusion to saline lock,4174718,IVT11,SALINE LOCK IV,2229807,4.01%,Procedure,SNOMED,425074000,Procedure
4018034,Taking patient vital signs assessment,4254901,NUR490,VITAL SIGNS,2211860,3.98%,Procedure,SNOMED,410188000,Procedure
5258973,"Screening digital breast tomosynthesis, bilateral (List separately in addition to code for primary procedure)",46257421,IMG3729,MAMMO SCREENING TOMO BILATERAL,2058735,3.7%,Procedure,CPT4,77063,CPT4
4180415,No matching concept,0,NUR183,NOTIFY PHYSICIAN LIP TEAM,2058262,3.7%,Metadata,None,No matching concept,Undefined
1635376,Removal of intravenous cannula,4075238,IVT10,REMOVE IV,1941959,3.49%,Procedure,SNOMED,225066003,Procedure
5129166,No matching concept,0,RT195,NASAL OXYGEN- TITRATION (ADULT),1857957,3.34%,Metadata,None,No matching concept,Undefined
5823654,No matching concept,0,COD2,FULL CODE,1623805,2.92%,Metadata,None,No matching concept,Undefined
2705372,No matching concept,0,NUR1130,VITAL SIGNS WITH PULSE OXIMETRY,1555176,2.8%,Metadata,None,No matching concept,Undefined
5465030,No matching concept,0,IMG4994,EXTERNAL IMAGING RESULTS,1459701,2.63%,Metadata,None,No matching concept,Undefined
1418062,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",2313869,ECH10,ECHO 2D COMP W DOPP AND CFI IF IND BUBBLES IMG ENHANC AND OR 3D,1419137,2.55%,Procedure,CPT4,93306,CPT4
5537632,"Blood typing, serologic; antigen screening for compatible unit using patient serum, per unit screened",2212948,LAB276,TYPE AND SCREEN     (BH GH LMW YH),1380815,2.48%,Procedure,CPT4,86904,CPT4
1725236,"Electrocardiogram, routine ECG with at least 12 leads; with interpretation and report",2313814,CVR16,CARDIAC EKG RESULT SCAN,1378168,2.48%,Procedure,CPT4,93000,CPT4
2516016,No matching concept,0,NUR129,ACTIVITY AS TOLERATED,1275541,2.29%,Metadata,None,No matching concept,Undefined
1675875,No matching concept,0,99999,PR NO FEE LOS,1266741,2.28%,Metadata,None,No matching concept,Undefined
4215023,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19])",759692,LAB10813,SARS COV-2 (COVID-19) RNA,1250614,2.25%,Procedure,CPT4,87811,CPT4
3469242,No matching concept,0,DIET24,DIET REGULAR,1241821,2.23%,Metadata,None,No matching concept,Undefined
2397944,Nil by mouth,4081119,DIET41,DIET NPO EFFECTIVE NOW,1117302,2.01%,Procedure,SNOMED,182923009,Procedure
7358999,Ultrasonography of bilateral breasts,42535066,IMG1073,US BREAST BILATERAL,1022015,1.84%,Procedure,SNOMED,1571000087109,Procedure
9844230,"Screening mammography, bilateral (2-view study of each breast), including computer-aided detection (CAD) when performed",42627987,IMG2208,MAMMO SCREENING,1016314,1.83%,Procedure,CPT4,77067,CPT4
4909352,Seasonal influenza vaccination,44806815,IMM85,INFLUENZA  QUADRIVALENT  PRESERVATIVE FREE,861055,1.55%,Procedure,SNOMED,822851000000102,Procedure
7774405,No matching concept,0,NUR494,MEASURE WEIGHT,834444,1.5%,Metadata,None,No matching concept,Undefined
5422997,Assessment of intake and output measurement,4296798,NUR467,INTAKE AND OUTPUT,834282,1.5%,Procedure,SNOMED,385748006,Procedure
4806404,Use of intermittent pneumatic compression device,44808403,NUR536,PLACE SEQUENTIAL COMPRESSION DEVICE,797236,1.43%,Procedure,SNOMED,829481000000104,Procedure
5851743,No matching concept,0,LABEX10812,SARS COV-2 (COVID-19) RNA (EXTERNAL LAB),788909,1.42%,Metadata,None,No matching concept,Undefined
1113827,No matching concept,0,REF275,AMB REFERRAL TO REHABILITATION SERVICES,777878,1.4%,Metadata,None,No matching concept,Undefined
3542098,"Radiologic examination, chest; single view",725068,IMG34,XR CHEST PA OR AP,756280,1.36%,Procedure,CPT4,71045,CPT4
4478491,Verification routine,4144379,NUR185,A  Y NURSE VERIFICATION,716196,1.29%,Procedure,SNOMED,3390006,Procedure
7203138,"Computed tomography, abdomen and pelvis; with contrast material(s)",40756910,IMG794,CT ABDOMEN PELVIS W IV CONTRAST,711197,1.28%,Procedure,CPT4,74177,CPT4
1700007,Inpatient care management,42537843,ADT1,ADMIT TO INPATIENT,690679,1.24%,Procedure,SNOMED,737481003,Procedure
8252263,No matching concept,0,LAB6408,CYTOLOGY GYN CASES (BH YH),653589,1.18%,Metadata,None,No matching concept,Undefined
6762007,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; severe acute respiratory syndrome coronavirus 2 (sars-cov-2) (coronavirus disease [covid-19])",759692,LAB10811,SARS COV-2 (COVID-19) RNA- REFERENCE LAB (BH GH LMW Q YH),624900,1.12%,Procedure,CPT4,87811,CPT4
7533861,Surgical procedure,4301351,LAB3671,SURGICAL CASE     (YH),618232,1.11%,Procedure,SNOMED,387713003,Procedure
7861961,"Computed tomography, head or brain; without contrast material",2211327,IMG181,CT HEAD WO IV CONTRAST,603513,1.09%,Procedure,CPT4,70450,CPT4
5990823,"Physical therapy evaluation/treatment, per visit",40217448,PT4,PT EVAL AND TREAT,580514,1.04%,Procedure,HCPCS,Q0086,HCPCS
2239005,Peripheral venous cannula insertion,4049832,IVT3,INSERT PERIPHERAL IV,565702,1.02%,Procedure,SNOMED,233520008,Procedure
1471479,Unlisted surgical pathology procedure,2213321,LAB3675,ZZZSURGICAL PATHOLOGY     (GH),537774,0.97%,Procedure,CPT4,88399,CPT4
5937820,No matching concept,0,LAB462,BLOOD CULTURE   (BH GH L LMW YH),534697,0.96%,Metadata,None,No matching concept,Undefined
3525956,Assessment of risk of venous thromboembolism,40483208,COR25,NO VTE PROPHYLAXIS AT ADMISSION  ON FULL ANTICOAGULATION OR LOW RISK NON-ICU PATIENT,533948,0.96%,Procedure,SNOMED,443749004,Procedure
3835735,Cardiovascular investigation,4078460,CVR17,CARDIAC MISC.  RESULT SCAN,524912,0.94%,Procedure,SNOMED,276341003,Procedure
5960108,Unlisted surgical pathology procedure,2213321,LAB6412,SURGICAL PATHOLOGY     (YH),523681,0.94%,Procedure,CPT4,88399,CPT4
7846497,"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",2109194,GI6,COLONOSCOPY (IMAGES),512889,0.92%,Procedure,CPT4,45378,CPT4
5712141,No matching concept,0,LAB1376,C. TRACHOMATIS   N. GONORRHOEAE  NAAT     (BH GH L LMW YH),507860,0.91%,Metadata,None,No matching concept,Undefined
2532608,No matching concept,0,LAB5421,CYTOLOGY GYN CASES     (YH),484079,0.87%,Metadata,None,No matching concept,Undefined
9313477,"Computed tomography, thorax; without contrast material",2211378,IMG200,CT CHEST WO IV CONTRAST,482165,0.87%,Procedure,CPT4,71250,CPT4
5976801,Ambulating patient,4265052,NUR11,AMBULATE PATIENT,480895,0.87%,Procedure,SNOMED,62013009,Procedure
4514677,No matching concept,0,POSTOP100,DISCONTINUE POSTOP ORDERS,457104,0.82%,Metadata,None,No matching concept,Undefined
7358426,No matching concept,0,NUR616,HEIGHT LENGTH,447120,0.8%,Metadata,None,No matching concept,Undefined
5688905,No matching concept,0,IMGR06,US RESULT SCAN,438432,0.79%,Metadata,None,No matching concept,Undefined
2986902,No matching concept,0,REF25,AMB REFERRAL TO GASTROENTEROLOGY,436072,0.78%,Metadata,None,No matching concept,Undefined
5727032,No matching concept,0,DIET9,DIET CARDIAC,425722,0.77%,Metadata,None,No matching concept,Undefined
4097169,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences",2211353,IMG271,MRI BRAIN W WO IV CONTRAST,421737,0.76%,Procedure,CPT4,70553,CPT4
4246763,No matching concept,0,NUR463,HEIGHT AND WEIGHT,412279,0.74%,Metadata,None,No matching concept,Undefined
1973345,Coronavirus vaccination,4236188,IMM208,COVID-19 VACCINE - PFIZER,401137,0.72%,Procedure,SNOMED,90640007,Procedure
8558010,No matching concept,0,LAB9824,PATHOLOGY (BH YH),399484,0.72%,Metadata,None,No matching concept,Undefined
8238562,No matching concept,0,LAB3666,ZZZCYTOLOGY GYN CASES     (GH),383803,0.69%,Metadata,None,No matching concept,Undefined
6081422,Dual energy X-ray absorptiometry,4086416,IMG2221,DEXA BONE DENSITY,380854,0.69%,Procedure,SNOMED,241686001,Procedure
3618164,Nil by mouth,4081119,DIET40,DIET NPO TIME SPECIFIED,379332,0.68%,Procedure,SNOMED,182923009,Procedure
6255818,"Ultrasound, abdominal, real time with image documentation; complete",2211740,IMG524,US ABDOMEN COMPLETE,376249,0.68%,Procedure,CPT4,76700,CPT4
5175134,Clear liquid diet,763071,DIET13,DIET CLEAR LIQUID,366089,0.66%,Procedure,SNOMED,435741000124103,Procedure
7270243,No matching concept,0,LAB4715,PATHOLOGY CYTOLOGY SCAN,365241,0.66%,Metadata,None,No matching concept,Undefined
1766928,Kidney imaging morphology,2212029,IMG1080,US RENAL,362910,0.65%,Procedure,CPT4,78700,CPT4
2376767,No matching concept,0,NUR1271,PREOP: ACTIVATE YNHH PRE-CALL PROTOCOL (INCLUDES NPO ORDER),353749,0.64%,Metadata,None,No matching concept,Undefined
7060974,No matching concept,0,RT16,INCENTIVE SPIROMETRY RT,350380,0.63%,Metadata,None,No matching concept,Undefined
9231578,No matching concept,0,LAB4802,CG4  I-STAT  VENOUS     (BH YH),342308,0.62%,Metadata,None,No matching concept,Undefined
8163875,No matching concept,0,LAB3584,TROPONIN I (POC)     (LMW YH),336964,0.61%,Metadata,None,No matching concept,Undefined
5767699,"Radiologic examination, spine, lumbosacral; 2 or 3 views",2211397,IMG66,XR LUMBAR SPINE AP AND LATERAL,331268,0.6%,Procedure,CPT4,72100,CPT4
5828433,"Ultrasound, pregnant uterus, real time with image documentation, follow-up (eg, re-evaluation of fetal size by measuring standard growth parameters and amniotic fluid volume, re-evaluation of organ system(s) suspected or confirmed to be abnormal on a prev",2211756,IMG3275,US MFM FOLLOW UP FETAL (PERI ONLY)(GH YH BH NE LM),323083,0.58%,Procedure,CPT4,76816,CPT4
6658886,Radiography of teeth,4119275,IMG4611,DENTAL X-RAY,314618,0.57%,Procedure,SNOMED,22891007,Procedure
6644323,No matching concept,0,CON65,IP CONSULT TO SOCIAL WORK,309920,0.56%,Metadata,None,No matching concept,Undefined
1896789,Adverse drug reaction prevention management,4288387,NUR579,O  DRUG REACTION INSTRUCTIONS,308483,0.55%,Procedure,SNOMED,396081009,Procedure
1481100,No matching concept,0,LAB260,CHLAMYDIA TRACHOMATIS  NAAT (LAB ORDER ONLY) (BH GH L LMW YH),305961,0.55%,Metadata,None,No matching concept,Undefined
9423707,No matching concept,0,LAB1363,NEISSERIA GONORRHEA  NAAT (LAB ORDER ONLY)   (BH GH L LMW YH),305417,0.55%,Metadata,None,No matching concept,Undefined
9779584,No matching concept,0,LAB7059,CHEM8  ISTAT     (GH YH),303529,0.55%,Metadata,None,No matching concept,Undefined
